# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00027635 -1.75000 10.04922 0.0900000036 1.0816895926    0.090 -3.196  3.4830  5.472    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.91e-17      0.00 7.484e-01 2.513e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 12.759 17.871 16.006 14.066 12.557 12.073 11.973
0.00027635 -1.75000 10.04922 0.0946895331 1.1251498807    0.095 -3.027  3.5077  5.424    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.46e-17      0.00 7.474e-01 2.523e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 12.337 17.313 15.129 13.296 12.125 11.714 11.609
0.00027635 -1.75000 10.04922 0.1000000015 1.1711064122    0.100 -2.846  3.5341  5.372    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-16      0.00 7.462e-01 2.535e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.058e-04 11.884 16.528 14.235 12.543 11.663 11.314 11.209
0.00027635 -1.75000 10.04922 0.1199999973 1.3193154249    0.120 -2.554  3.5650  5.283    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-16      0.00 7.433e-01 2.564e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 11.155 15.204 13.041 11.544 10.923 10.633 10.535
0.00027635 -1.75000 10.04922 0.1399999857 1.4384525915    0.140 -2.371  3.5800  5.227    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.48e-16      0.00 7.413e-01 2.584e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 10.698 14.428 12.383 10.993 10.461 10.194 10.103
0.00027635 -1.75000 10.04922 0.1599999964 1.5372931554    0.160 -2.228  3.5898  5.181    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-16      0.00 7.400e-01 2.597e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 10.340 13.852 11.901 10.590 10.100 9.849 9.761
0.00027635 -1.75000 10.04922 0.2000000179 1.6938791367    0.200 -2.008  3.6023  5.108    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.71e-16      0.00 7.390e-01 2.607e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.060e-04 9.789 13.043 11.202 9.990 9.543 9.310 9.229
0.00027635 -1.75000 10.04922 0.2500000000 1.8403257998    0.250 -1.805  3.6133  5.046    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-15      0.00 7.391e-01 2.606e-01 5.499e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 9.282 12.325 10.574 9.444 9.030 8.814 8.739
0.00027635 -1.75000 10.04922 0.3000000119 1.9529139769    0.300 -1.649  3.6222  5.005    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-15      0.00 7.392e-01 2.605e-01 5.498e-05 1.484e-05 1.346e-04 -1.000 3.060e-04 8.894 11.777 10.093 9.026 8.637 8.435 8.364
0.00027635 -1.75000 10.04922 0.3499999940 2.0434174644    0.350 -1.523  3.6302  4.978    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-15      0.00 7.391e-01 2.606e-01 5.496e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 8.577 11.324 9.697 8.685 8.317 8.126 8.060
0.00027635 -1.75000 10.04922 0.4000000060 2.1185024399    0.400 -1.391  3.6401  4.943    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-15      0.00 7.503e-01 2.494e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.058e-04 8.247 10.833 9.276 8.327 7.984 7.808 7.747
0.00027635 -1.75000 10.04922 0.4500000179 2.1822809362    0.450 -1.229  3.6566  4.898    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-15      0.00 7.506e-01 2.491e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 7.842 10.170 8.730 7.879 7.575 7.423 7.370
0.00027635 -1.75000 10.04922 0.5000000000 2.2374541529    0.500 -1.048  3.6776  4.847    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -6e-15      0.00 7.506e-01 2.491e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 7.390 9.383 8.116 7.381 7.124 7.000 6.958
0.00027635 -1.75000 10.04922 0.5500000715 2.2836583126    0.550 -0.842  3.6995  4.770    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1    -1e-14      0.00 7.825e-01 2.173e-01 4.839e-05 1.306e-05 1.185e-04 -1.000 2.071e-04 6.876 8.544 7.466 6.835 6.618 6.522 6.493
0.00027635 -1.75000 10.04922 0.6000000238 2.3211213258    0.600 -0.637  3.7253  4.706    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-14      0.00 7.936e-01 2.061e-01 4.624e-05 1.249e-05 1.134e-04 -1.000 2.544e-04 6.362 7.710 6.832 6.305 6.132 6.065 6.049
0.00027635 -1.75000 10.04922 0.6084948182 2.3267865314    0.608 -0.601  3.7303  4.696    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-14      0.00 7.959e-01 2.039e-01 4.581e-05 1.238e-05 1.123e-04 -1.000 2.417e-04 6.271 7.564 6.720 6.213 6.048 5.987 5.973
0.00027635 -1.75000 10.04922 0.6216486692 2.3352085495    0.621 -0.544  3.7381  4.680    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-14      0.00 7.996e-01 2.002e-01 4.511e-05 1.219e-05 1.107e-04 -1.000 2.469e-04 6.130 7.344 6.550 6.071 5.918 5.866 5.855
0.00027635 -1.75000 10.04922 0.6329002380 2.3420940340    0.633 -0.495  3.7447  4.665    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-14      0.00 8.029e-01 1.969e-01 4.449e-05 1.202e-05 1.092e-04 -1.000 2.513e-04 6.008 7.162 6.406 5.951 5.809 5.763 5.755
