# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0015467 -1.00000 10.06446 0.0900000036 1.0816895926    0.090 -3.239  3.4438  5.359    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.06e-17      0.00 7.450e-01 2.534e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.867 18.121 17.146 15.354 13.079 12.291 12.123
0.0015467 -1.00000 10.06446 0.0900569707 1.0822350869    0.090 -3.238  3.4440  5.358    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.08e-17      0.00 7.450e-01 2.534e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.864 18.117 17.138 15.345 13.074 12.288 12.120
0.0015467 -1.00000 10.06446 0.1000000089 1.1711064744    0.100 -3.000  3.4775  5.300    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.9e-17      0.00 7.438e-01 2.545e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.271 17.410 15.749 13.988 12.300 11.698 11.554
0.0015467 -1.00000 10.06446 0.1200000048 1.3193154741    0.120 -2.719  3.5109  5.231    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-16      0.00 7.419e-01 2.565e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.567 16.401 14.338 12.666 11.474 11.016 10.890
0.0015467 -1.00000 10.06446 0.1400000006 1.4384526719    0.140 -2.534  3.5287  5.185    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-16      0.00 7.403e-01 2.581e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.105 15.689 13.553 11.949 10.966 10.567 10.450
0.0015467 -1.00000 10.06446 0.1599999964 1.5372931554    0.160 -2.393  3.5399  5.147    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.4e-16      0.00 7.391e-01 2.593e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.753 15.157 13.019 11.463 10.590 10.223 10.111
0.0015467 -1.00000 10.06446 0.1859555840 1.6439342356    0.186 -2.244  3.5498  5.103    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.66e-16      0.00 7.381e-01 2.603e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.381 14.621 12.498 10.986 10.201 9.859 9.752
0.0015467 -1.00000 10.06446 0.2000000179 1.6938791367    0.200 -2.173  3.5546  5.082    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.44e-16      0.00 7.376e-01 2.608e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.201 14.360 12.251 10.760 10.014 9.684 9.579
0.0015467 -1.00000 10.06446 0.2500000000 1.8403257998    0.250 -1.967  3.5661  5.020    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-16      0.00 7.372e-01 2.611e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.688 13.647 11.580 10.143 9.486 9.182 9.082
0.0015467 -1.00000 10.06446 0.3000000417 1.9529140366    0.300 -1.808  3.5749  4.975    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.18e-18      0.00 7.374e-01 2.610e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.291 13.104 11.074 9.679 9.080 8.793 8.698
0.0015467 -1.00000 10.06446 0.3499999940 2.0434174644    0.350 -1.677  3.5822  4.940    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-15      0.00 7.465e-01 2.519e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.962 12.658 10.659 9.303 8.744 8.471 8.379
0.0015467 -1.00000 10.06446 0.4000000358 2.1185024810    0.400 -1.524  3.5935  4.890    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.580 12.094 10.152 8.858 8.353 8.100 8.014
0.0015467 -1.00000 10.06446 0.4329777658 2.1616479790    0.433 -1.405  3.6048  4.850    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.83e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.282 11.627 9.734 8.507 8.046 7.813 7.732
0.0015467 -1.00000 10.06446 0.4500000477 2.1822809714    0.450 -1.347  3.6103  4.831    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.24e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.136 11.401 9.532 8.339 7.898 7.672 7.594
0.0015467 -1.00000 10.06446 0.5000000000 2.2374541529    0.500 -1.145  3.6370  4.782    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.633 10.531 8.764 7.739 7.385 7.202 7.136
0.0015467 -1.00000 10.06446 0.5500000715 2.2836583126    0.550 -0.922  3.6700  4.732    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.74e-15      0.00 7.801e-01 2.185e-01 2.575e-04 6.952e-05 6.308e-04 -1.000 1.445e-03 7.074 9.452 7.887 7.078 6.817 6.685 6.636
0.0015467 -1.00000 10.06446 0.6000000238 2.3211213258    0.600 -0.716  3.7001  4.684    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-14      0.00 7.876e-01 2.110e-01 2.502e-04 6.757e-05 6.133e-04 -1.000 1.384e-03 6.560 8.420 7.147 6.503 6.301 6.210 6.178
0.0015467 -1.00000 10.06446 0.6151898503 2.3311249148    0.615 -0.652  3.7100  4.671    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-14      0.00 7.901e-01 2.086e-01 2.476e-04 6.689e-05 6.073e-04 -1.000 1.390e-03 6.401 8.111 6.930 6.331 6.146 6.067 6.040
0.0015467 -1.00000 10.06446 0.6323459148 2.3417614057    0.632 -0.580  3.7211  4.655    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.930e-01 2.057e-01 2.447e-04 6.610e-05 6.002e-04 -1.000 1.347e-03 6.221 7.779 6.694 6.141 5.974 5.908 5.887
0.0015467 -1.00000 10.06446 0.6483452320 2.3510996185    0.648 -0.513  3.7312  4.639    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-14      0.00 7.958e-01 2.028e-01 2.418e-04 6.534e-05 5.934e-04 -1.000 1.387e-03 6.053 7.484 6.482 5.968 5.816 5.761 5.745
0.0015467 -1.00000 10.06446 0.6499999762 2.3520353107    0.650 -0.506  3.7322  4.638    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-14      0.00 7.961e-01 2.025e-01 2.415e-04 6.526e-05 5.927e-04 -1.000 1.359e-03 6.035 7.455 6.461 5.950 5.800 5.746 5.731
0.0015467 -1.00000 10.06446 0.6504990458 2.3523164405    0.650 -0.504  3.7325  4.637    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.34e-14      0.00 7.962e-01 2.024e-01 2.414e-04 6.524e-05 5.924e-04 -1.000 1.358e-03 6.030 7.447 6.454 5.945 5.795 5.741 5.726
0.0015467 -1.00000 10.06446 0.6653014421 2.3604347045    0.665 -0.441  3.7409  4.618    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-14      0.00 7.994e-01 1.993e-01 2.383e-04 6.440e-05 5.849e-04 -1.000 1.323e-03 5.873 7.194 6.266 5.786 5.648 5.604 5.593
0.0015467 -1.00000 10.06446 0.6789256334 2.3675481304    0.679 -0.383  3.7483  4.598    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-14      0.00 8.025e-01 1.962e-01 2.352e-04 6.360e-05 5.778e-04 -1.000 1.305e-03 5.728 6.969 6.093 5.642 5.516 5.479 5.472
0.0015467 -1.00000 10.06446 0.6915136576 2.3738348644    0.691 -0.329  3.7550  4.578    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-14      0.00 8.055e-01 1.932e-01 2.323e-04 6.282e-05 5.708e-04 -1.000 1.293e-03 5.591 6.764 5.934 5.508 5.392 5.363 5.358
0.0015467 -1.00000 10.06446 0.6999999881 2.3779266974    0.700 -0.291  3.7594  4.564    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.01e-14      0.00 8.077e-01 1.911e-01 2.303e-04 6.228e-05 5.660e-04 -1.000 1.247e-03 5.498 6.627 5.826 5.417 5.308 5.283 5.281
0.0015467 -1.00000 10.06446 0.7090741396 2.3821775857    0.709 -0.250  3.7640  4.547    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -4.46e-14      0.00 8.104e-01 1.883e-01 2.271e-04 6.158e-05 5.598e-04 -1.000 1.290e-03 5.395 6.483 5.710 5.318 5.216 5.196 5.195
0.0015467 -1.00000 10.06446 0.7180580497 2.3862647134    0.718 -0.209  3.7683  4.528    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -4.98e-14      0.00 8.132e-01 1.855e-01 2.239e-04 6.084e-05 5.534e-04 -1.000 1.229e-03 5.292 6.341 5.594 5.218 5.122 5.107 5.107
0.0015467 -1.00000 10.06446 0.7267779112 2.3901207901    0.726 -0.168  3.7724  4.508    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.57e-14      0.00 8.161e-01 1.827e-01 2.206e-04 6.010e-05 5.469e-04 -1.000 1.203e-03 5.189 6.203 5.480 5.119 5.029 5.018 5.020
0.0015467 -1.00000 10.06446 0.7351574302 2.3937274158    0.735 -0.127  3.7762  4.488    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.22e-14      0.00 8.189e-01 1.798e-01 2.174e-04 5.936e-05 5.404e-04 -1.000 1.239e-03 5.087 6.070 5.367 5.020 4.937 4.929 4.933
0.0015467 -1.00000 10.06446 0.7462685108 2.3983663909    0.746 -0.071  3.7810  4.457    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-14      0.00 8.230e-01 1.758e-01 2.130e-04 5.833e-05 5.313e-04 -1.000 1.205e-03 4.947 5.893 5.214 4.885 4.809 4.806 4.812
0.0015467 -1.00000 10.06446 0.7500000000 2.3998889087    0.750 -0.051  3.7825  4.446    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-14      0.00 8.244e-01 1.744e-01 2.115e-04 5.797e-05 5.282e-04 -1.000 1.203e-03 4.898 5.833 5.162 4.838 4.764 4.763 4.769
0.0015467 -1.00000 10.06446 0.7551785707 2.4019732204    0.755 -0.024  3.7843  4.429    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -8.32e-14      0.00 8.269e-01 1.719e-01 2.091e-04 5.733e-05 5.225e-04 -1.000 1.198e-03 4.830 5.753 5.089 4.772 4.701 4.701 4.708
0.0015467 -1.00000 10.06446 0.7632753849 2.4051669987    0.763  0.021  3.7871  4.400    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -9.49e-14      0.00 8.308e-01 1.680e-01 2.053e-04 5.631e-05 5.133e-04 -1.000 1.187e-03 4.718 5.622 4.969 4.663 4.596 4.599 4.607
