# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00123 -1.10000 10.04139 0.0900000036 1.0816895926    0.090 -3.225  3.4506  5.372    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.15e-17      0.00 7.460e-01 2.527e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 12.832 18.066 16.941 15.112 12.962 12.233 12.087
0.00123 -1.10000 10.04139 0.0978944600 1.1532734573    0.098 -3.028  3.4786  5.323    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.22e-17      0.00 7.451e-01 2.536e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 12.339 17.485 15.792 13.996 12.338 11.756 11.624
0.00123 -1.10000 10.04139 0.1000000089 1.1711064744    0.100 -2.978  3.4857  5.311    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.26e-17      0.00 7.448e-01 2.539e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 12.214 17.318 15.509 13.727 12.186 11.637 11.507
0.00123 -1.10000 10.04139 0.1018969491 1.1867596609    0.102 -2.949  3.4891  5.303    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.89e-17      0.00 7.446e-01 2.541e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 12.142 17.223 15.359 13.585 12.101 11.568 11.439
0.00123 -1.10000 10.04139 0.1200000048 1.3193154741    0.120 -2.695  3.5187  5.239    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-16      0.00 7.429e-01 2.559e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 11.508 16.270 14.135 12.462 11.382 10.961 10.843
0.00123 -1.10000 10.04139 0.1400000006 1.4384526719    0.140 -2.512  3.5357  5.191    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-16      0.00 7.413e-01 2.574e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 11.050 15.554 13.387 11.791 10.889 10.518 10.406
0.00123 -1.10000 10.04139 0.1599999964 1.5372931554    0.160 -2.372  3.5465  5.152    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-16      0.00 7.401e-01 2.586e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 10.700 15.023 12.869 11.324 10.521 10.176 10.069
0.00123 -1.10000 10.04139 0.2000000179 1.6938791367    0.200 -2.152  3.5609  5.087    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-16      0.00 7.387e-01 2.600e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 10.150 14.218 12.111 10.636 9.951 9.639 9.538
0.00123 -1.10000 10.04139 0.2500000000 1.8403257998    0.250 -1.947  3.5723  5.024    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.99e-16      0.00 7.383e-01 2.604e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 9.637 13.500 11.448 10.032 9.427 9.138 9.042
0.00123 -1.10000 10.04139 0.3000000417 1.9529140366    0.300 -1.789  3.5809  4.979    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-16      0.00 7.385e-01 2.602e-01 2.335e-04 6.301e-05 5.714e-04 -1.000 1.299e-03 9.241 12.956 10.948 9.579 9.023 8.750 8.658
