# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00123 -1.10000 10.05690 0.0900000036 1.0816895926    0.090 -3.225  3.4506  5.372    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.15e-17      0.00 7.460e-01 2.527e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 12.832 18.066 16.939 15.111 12.961 12.233 12.087
0.00123 -1.10000 10.05690 0.0931330100 1.1110408511    0.093 -3.144  3.4620  5.352    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.23e-17      0.00 7.456e-01 2.531e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 12.631 17.840 16.465 14.638 12.703 12.039 11.899
0.00123 -1.10000 10.05690 0.1000000089 1.1711064744    0.100 -2.978  3.4858  5.310    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.26e-17      0.00 7.447e-01 2.540e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 12.214 17.318 15.507 13.726 12.186 11.637 11.507
0.00123 -1.10000 10.05690 0.1200000048 1.3193154741    0.120 -2.695  3.5188  5.239    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-16      0.00 7.427e-01 2.560e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 11.507 16.269 14.133 12.461 11.382 10.961 10.843
0.00123 -1.10000 10.05690 0.1400000006 1.4384526719    0.140 -2.512  3.5358  5.191    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-16      0.00 7.411e-01 2.576e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 11.050 15.552 13.385 11.789 10.888 10.517 10.405
0.00123 -1.10000 10.05690 0.1599999964 1.5372931554    0.160 -2.372  3.5466  5.152    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-16      0.00 7.398e-01 2.589e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 10.699 15.021 12.867 11.322 10.519 10.175 10.068
0.00123 -1.10000 10.05690 0.2000000179 1.6938791367    0.200 -2.151  3.5610  5.086    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.69e-16      0.00 7.384e-01 2.603e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 10.148 14.215 12.108 10.633 9.949 9.637 9.536
0.00123 -1.10000 10.05690 0.2500000000 1.8403257998    0.250 -1.946  3.5723  5.023    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.51e-16      0.00 7.381e-01 2.606e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 9.635 13.497 11.445 10.029 9.424 9.136 9.040
0.00123 -1.10000 10.05690 0.3000000417 1.9529140366    0.300 -1.788  3.5810  4.979    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.41e-17      0.00 7.382e-01 2.605e-01 2.335e-04 6.301e-05 5.714e-04 -1.000 1.299e-03 9.240 12.954 10.946 9.578 9.021 8.748 8.656
0.00123 -1.10000 10.05690 0.3499999940 2.0434174644    0.350 -1.658  3.5882  4.945    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-15      0.00 7.473e-01 2.514e-01 2.335e-04 6.300e-05 5.714e-04 -1.000 1.299e-03 8.916 12.503 10.538 9.213 8.691 8.431 8.343
