# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00024632 -1.80000 10.10721 0.0900000036 1.0816895926    0.090 -3.195  3.4851  5.480    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.87e-17      0.00 7.481e-01 2.516e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 12.758 17.856 15.938 14.006 12.539 12.066 11.966
0.00024632 -1.80000 10.10721 0.0979607329 1.1538423354    0.098 -2.905  3.5276  5.397    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-16      0.00 7.460e-01 2.537e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 12.033 16.782 14.481 12.749 11.805 11.444 11.339
0.00024632 -1.80000 10.10721 0.1000000015 1.1711064122    0.100 -2.835  3.5379  5.376    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-16      0.00 7.455e-01 2.543e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.857 16.441 14.141 12.469 11.627 11.287 11.183
0.00024632 -1.80000 10.10721 0.1008273065 1.1779802370    0.101 -2.821  3.5393  5.372    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-16      0.00 7.453e-01 2.544e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.824 16.385 14.085 12.422 11.594 11.256 11.153
0.00024632 -1.80000 10.10721 0.1200000048 1.3193154741    0.120 -2.542  3.5688  5.286    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.37e-16      0.00 7.421e-01 2.576e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.125 15.091 12.953 11.481 10.888 10.604 10.508
0.00024632 -1.80000 10.10721 0.1400000006 1.4384526719    0.140 -2.357  3.5836  5.228    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-16      0.00 7.398e-01 2.599e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.664 14.308 12.297 10.938 10.423 10.162 10.072
0.00024632 -1.80000 10.10721 0.1599999964 1.5372931554    0.160 -2.213  3.5933  5.180    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.95e-16      0.00 7.384e-01 2.613e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.302 13.734 11.816 10.535 10.058 9.812 9.727
0.00024632 -1.80000 10.10721 0.2000000179 1.6938791367    0.200 -1.992  3.6057  5.106    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.01e-16      0.00 7.376e-01 2.622e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 9.751 12.931 11.122 9.937 9.501 9.274 9.195
0.00024632 -1.80000 10.10721 0.2500000000 1.8403257998    0.250 -1.791  3.6167  5.046    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.93e-16      0.00 7.378e-01 2.619e-01 4.822e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 9.247 12.221 10.501 9.397 8.993 8.782 8.709
0.00024632 -1.80000 10.10721 0.3000000417 1.9529140366    0.300 -1.637  3.6257  5.007    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-15      0.00 7.379e-01 2.618e-01 4.821e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 8.862 11.675 10.024 8.983 8.603 8.406 8.337
0.00024632 -1.80000 10.10721 0.3500000238 2.0434175133    0.350 -1.510  3.6338  4.980    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-15      0.00 7.376e-01 2.621e-01 4.818e-05 1.301e-05 1.180e-04 -1.000 2.688e-04 8.546 11.222 9.630 8.643 8.284 8.099 8.034
0.00024632 -1.80000 10.10721 0.3950607777 2.1116420983    0.395 -1.391  3.6427  4.948    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-15      0.00 7.491e-01 2.507e-01 4.822e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 8.246 10.778 9.250 8.319 7.981 7.809 7.749
0.00024632 -1.80000 10.10721 0.4000000060 2.1185024399    0.400 -1.378  3.6436  4.945    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-15      0.00 7.502e-01 2.495e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 8.216 10.733 9.211 8.285 7.951 7.779 7.720
0.00024632 -1.80000 10.10721 0.4500000179 2.1822809362    0.450 -1.216  3.6600  4.899    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-15      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 7.810 10.070 8.668 7.838 7.542 7.394 7.343
0.00024632 -1.80000 10.10721 0.5000000000 2.2374541529    0.500 -1.034  3.6805  4.845    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.21e-15      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 7.356 9.293 8.062 7.343 7.090 6.969 6.929
0.00024632 -1.80000 10.10721 0.5500000715 2.2836583126    0.550 -0.822  3.7025  4.762    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.870e-01 2.128e-01 4.163e-05 1.124e-05 1.020e-04 -1.000 1.741e-04 6.825 8.445 7.402 6.783 6.570 6.477 6.449
0.00024632 -1.80000 10.10721 0.5518884659 2.2852156273    0.551 -0.814  3.7035  4.759    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-14      0.00 7.875e-01 2.123e-01 4.155e-05 1.122e-05 1.018e-04 -1.000 1.759e-04 6.804 8.410 7.375 6.761 6.550 6.458 6.431
0.00024632 -1.80000 10.10721 0.6000000238 2.3211213258    0.600 -0.608  3.7292  4.692    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-14      0.00 7.998e-01 2.000e-01 3.944e-05 1.066e-05 9.676e-05 -1.000 2.241e-04 6.289 7.586 6.744 6.232 6.065 6.002 5.988
0.00024632 -1.80000 10.10721 0.6084827781 2.3267786304    0.608 -0.569  3.7344  4.681    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-14      0.00 8.024e-01 1.973e-01 3.900e-05 1.054e-05 9.570e-05 -1.000 2.394e-04 6.193 7.438 6.628 6.136 5.977 5.920 5.908
0.00024632 -1.80000 10.10721 0.6189413071 2.3335087306    0.619 -0.521  3.7408  4.666    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-14      0.00 8.058e-01 1.939e-01 3.844e-05 1.039e-05 9.435e-05 -1.000 2.421e-04 6.074 7.256 6.486 6.017 5.868 5.818 5.809
0.00024632 -1.80000 10.10721 0.6286561489 2.3395301163    0.628 -0.477  3.7466  4.651    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-19      0.00 8.091e-01 1.906e-01 3.789e-05 1.024e-05 9.303e-05 -1.000 2.352e-04 5.962 7.093 6.355 5.908 5.768 5.724 5.717
0.00024632 -1.80000 10.10721 0.6376816034 2.3449355647    0.637 -0.435  3.7520  4.637    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.47e-18      0.00 8.124e-01 1.874e-01 3.736e-05 1.010e-05 9.176e-05 -1.000 2.024e-04 5.857 6.942 6.233 5.806 5.675 5.637 5.632
