# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00034781 -1.65000 10.02531 0.0900000036 1.0816895926    0.090 -3.191  3.4796  5.454    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.06e-17      0.00 7.484e-01 2.512e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 12.749 17.881 16.100 14.160 12.583 12.075 11.973
0.00034781 -1.65000 10.02531 0.0909031779 1.0902855770    0.091 -3.161  3.4841  5.446    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.46e-17      0.00 7.483e-01 2.513e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 12.671 17.790 15.929 14.005 12.501 12.010 11.907
0.00034781 -1.65000 10.02531 0.1000000015 1.1711064122    0.100 -2.865  3.5269  5.363    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-16      0.00 7.465e-01 2.531e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.811e-04 11.934 16.678 14.411 12.687 11.730 11.362 11.255
0.00034781 -1.65000 10.02531 0.1200000048 1.3193154741    0.120 -2.576  3.5579  5.277    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.21e-16      0.00 7.440e-01 2.556e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.811e-04 11.211 15.405 13.205 11.665 10.988 10.683 10.583
0.00034781 -1.65000 10.02531 0.1400000006 1.4384526719    0.140 -2.394  3.5730  5.222    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.32e-16      0.00 7.422e-01 2.575e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 10.756 14.633 12.539 11.101 10.526 10.248 10.153
0.00034781 -1.65000 10.02531 0.1599999964 1.5372931554    0.160 -2.252  3.5829  5.178    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.53e-16      0.00 7.409e-01 2.588e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.811e-04 10.401 14.069 12.055 10.690 10.167 9.904 9.814
0.00034781 -1.65000 10.02531 0.1674206704 1.5699606145    0.167 -2.208  3.5855  5.164    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.99e-16      0.00 7.406e-01 2.590e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.811e-04 10.289 13.900 11.910 10.565 10.054 9.795 9.706
0.00034781 -1.65000 10.02531 0.2000000179 1.6938791367    0.200 -2.032  3.5958  5.106    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.3e-16      0.00 7.398e-01 2.599e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 9.850 13.246 11.346 10.081 9.610 9.367 9.283
0.00034781 -1.65000 10.02531 0.2500000000 1.8403257998    0.250 -1.828  3.6068  5.043    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-15      0.00 7.397e-01 2.599e-01 6.853e-05 1.849e-05 1.677e-04 -1.000 3.811e-04 9.340 12.521 10.711 9.528 9.094 8.868 8.789
0.00034781 -1.65000 10.02531 0.3000000417 1.9529140366    0.300 -1.672  3.6156  5.001    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-15      0.00 7.399e-01 2.597e-01 6.852e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 8.950 11.972 10.227 9.108 8.699 8.486 8.412
0.00034781 -1.65000 10.02531 0.3012080789 1.9553269825    0.301 -1.669  3.6158  5.001    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-15      0.00 7.399e-01 2.597e-01 6.852e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 8.942 11.960 10.217 9.099 8.691 8.478 8.404
0.00034781 -1.65000 10.02531 0.3499999940 2.0434174644    0.350 -1.546  3.6233  4.973    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-15      0.00 7.399e-01 2.597e-01 6.849e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 8.634 11.524 9.832 8.766 8.378 8.177 8.107
