# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00043772 -1.55000 10.04139 0.0900000036 1.0816895926    0.090 -3.186  3.4765  5.436    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.23e-17      0.00 7.483e-01 2.513e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 12.735 17.880 16.165 14.242 12.605 12.074 11.968
0.00043772 -1.55000 10.04139 0.0959753841 1.1365799060    0.096 -3.002  3.5029  5.386    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.2e-17      0.00 7.472e-01 2.523e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 12.275 17.284 15.182 13.354 12.108 11.670 11.561
0.00043772 -1.55000 10.04139 0.1000000015 1.1711064122    0.100 -2.885  3.5198  5.353    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-16      0.00 7.465e-01 2.531e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 11.981 16.812 14.583 12.834 11.797 11.406 11.298
0.00043772 -1.55000 10.04139 0.1199999973 1.3193154249    0.120 -2.598  3.5509  5.270    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-16      0.00 7.440e-01 2.556e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 11.264 15.585 13.364 11.789 11.052 10.732 10.629
0.00043772 -1.55000 10.04139 0.1400000006 1.4384526719    0.140 -2.416  3.5661  5.216    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-16      0.00 7.422e-01 2.574e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 10.810 14.825 12.691 11.211 10.589 10.297 10.199
0.00043772 -1.55000 10.04139 0.1599999964 1.5372931554    0.160 -2.274  3.5762  5.173    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.33e-16      0.00 7.408e-01 2.587e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 10.456 14.264 12.202 10.790 10.228 9.954 9.860
0.00043772 -1.55000 10.04139 0.2000000179 1.6938791367    0.200 -2.054  3.5893  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.98e-16      0.00 7.397e-01 2.598e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 9.904 13.437 11.484 10.168 9.670 9.416 9.329
0.00043772 -1.55000 10.04139 0.2500000000 1.8403257998    0.250 -1.849  3.6004  5.039    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-15      0.00 7.396e-01 2.599e-01 8.207e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 9.394 12.709 10.843 9.610 9.153 8.917 8.834
0.00043772 -1.55000 10.04139 0.3000000417 1.9529140366    0.300 -1.694  3.6090  4.997    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-15      0.00 7.398e-01 2.597e-01 8.206e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 9.004 12.161 10.359 9.188 8.758 8.534 8.457
0.00043772 -1.55000 10.04139 0.3214748800 1.9940229966    0.321 -1.637  3.6124  4.984    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-15      0.00 7.398e-01 2.597e-01 8.204e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 8.863 11.963 10.183 9.035 8.615 8.396 8.320
0.00043772 -1.55000 10.04139 0.3499999940 2.0434174644    0.350 -1.567  3.6165  4.967    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-15      0.00 7.398e-01 2.597e-01 8.202e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 8.689 11.720 9.966 8.846 8.438 8.226 8.152
0.00043772 -1.55000 10.04139 0.3960899711 2.1130807612    0.396 -1.438  3.6266  4.932    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.49e-15      0.00 7.495e-01 2.500e-01 8.207e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 8.365 11.229 9.541 8.490 8.110 7.914 7.845
0.00043772 -1.55000 10.04139 0.4000000060 2.1185024399    0.400 -1.428  3.6274  4.929    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-15      0.00 7.503e-01 2.492e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 8.340 11.190 9.507 8.461 8.084 7.889 7.820
0.00043772 -1.55000 10.04139 0.4500000179 2.1822809362    0.450 -1.257  3.6455  4.882    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-15      0.00 7.504e-01 2.491e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 7.913 10.481 8.909 7.981 7.652 7.483 7.424
0.00043772 -1.55000 10.04139 0.4845644832 2.2212152676    0.484 -1.123  3.6629  4.850    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.12e-15      0.00 7.504e-01 2.491e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 7.577 9.875 8.425 7.599 7.313 7.170 7.119
0.00043772 -1.55000 10.04139 0.5000000000 2.2374541529    0.500 -1.066  3.6702  4.836    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.83e-15      0.00 7.504e-01 2.491e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 7.435 9.612 8.221 7.440 7.171 7.038 6.991
0.00043772 -1.55000 10.04139 0.5500000715 2.2836583126    0.550 -0.857  3.6944  4.764    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -9.77e-15      0.00 7.820e-01 2.176e-01 7.235e-05 1.953e-05 1.772e-04 -1.000 3.605e-04 6.912 8.707 7.532 6.874 6.653 6.552 6.518
0.00043772 -1.55000 10.04139 0.6000000238 2.3211213258    0.600 -0.652  3.7211  4.705    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-14      0.00 7.922e-01 2.074e-01 6.938e-05 1.874e-05 1.701e-04 -1.000 3.701e-04 6.401 7.836 6.884 6.339 6.162 6.092 6.073
0.00043772 -1.55000 10.04139 0.6131974459 2.3298452199    0.613 -0.596  3.7291  4.690    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-14      0.00 7.954e-01 2.043e-01 6.847e-05 1.850e-05 1.679e-04 -1.000 3.821e-04 6.261 7.603 6.710 6.196 6.032 5.971 5.956
0.00043772 -1.55000 10.04139 0.6265487671 2.3382421638    0.626 -0.539  3.7371  4.674    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.11e-14      0.00 7.987e-01 2.009e-01 6.750e-05 1.824e-05 1.656e-04 -1.000 3.656e-04 6.118 7.377 6.538 6.053 5.901 5.849 5.838
