# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00043772 -1.55000 10.02531 0.0900000036 1.0816895926    0.090 -3.187  3.4764  5.436    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.22e-17      0.00 7.483e-01 2.512e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 12.736 17.881 16.168 14.244 12.607 12.074 11.969
0.00043772 -1.55000 10.02531 0.1000000015 1.1711064122    0.100 -2.885  3.5197  5.354    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-16      0.00 7.466e-01 2.529e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 11.982 16.813 14.584 12.835 11.798 11.407 11.298
0.00043772 -1.55000 10.02531 0.1199999973 1.3193154249    0.120 -2.598  3.5508  5.270    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-16      0.00 7.442e-01 2.553e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 11.265 15.587 13.365 11.790 11.053 10.732 10.630
0.00043772 -1.55000 10.02531 0.1400000006 1.4384526719    0.140 -2.417  3.5660  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-16      0.00 7.425e-01 2.570e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 10.812 14.827 12.693 11.213 10.590 10.298 10.200
0.00043772 -1.55000 10.02531 0.1599999964 1.5372931554    0.160 -2.275  3.5762  5.174    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.32e-16      0.00 7.412e-01 2.584e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 10.458 14.267 12.204 10.792 10.230 9.956 9.862
0.00043772 -1.55000 10.02531 0.1798969060 1.6208487964    0.180 -2.159  3.5831  5.137    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.55e-16      0.00 7.406e-01 2.590e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 10.169 13.834 11.826 10.464 9.937 9.674 9.583
0.00043772 -1.55000 10.02531 0.2000000179 1.6938791367    0.200 -2.055  3.5893  5.103    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.96e-16      0.00 7.400e-01 2.595e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 9.907 13.440 11.487 10.171 9.673 9.419 9.331
0.00043772 -1.55000 10.02531 0.2500000000 1.8403257998    0.250 -1.850  3.6004  5.040    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-15      0.00 7.399e-01 2.596e-01 8.207e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 9.396 12.711 10.845 9.612 9.155 8.918 8.836
0.00043772 -1.55000 10.02531 0.3007090688 1.9543317823    0.301 -1.692  3.6091  4.997    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-15      0.00 7.401e-01 2.595e-01 8.206e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 9.000 12.156 10.354 9.184 8.754 8.531 8.453
0.00043772 -1.55000 10.02531 0.3496926129 2.0429133879    0.350 -1.569  3.6164  4.968    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-15      0.00 7.401e-01 2.594e-01 8.202e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 8.691 11.724 9.970 8.849 8.441 8.229 8.155
