# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00087196 -1.25000 10.00860 0.0900000036 1.0816895926    0.090 -3.207  3.4602  5.392    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.24e-17      0.00 7.473e-01 2.518e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.011e-04 12.787 17.994 16.639 14.758 12.812 12.165 12.043
0.00087196 -1.25000 10.00860 0.0960808396 1.1375084686    0.096 -3.045  3.4834  5.351    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.73e-17      0.00 7.465e-01 2.526e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.011e-04 12.382 17.515 15.722 13.886 12.325 11.785 11.666
0.00087196 -1.25000 10.00860 0.1000000015 1.1711064122    0.100 -2.945  3.4975  5.325    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.8e-17      0.00 7.460e-01 2.531e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.011e-04 12.134 17.171 15.174 13.382 12.038 11.555 11.438
0.00087196 -1.25000 10.00860 0.1103865281 1.2524407309    0.110 -2.792  3.5151  5.285    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-16      0.00 7.450e-01 2.541e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.012e-04 11.749 16.597 14.447 12.724 11.614 11.192 11.078
0.00087196 -1.25000 10.00860 0.1199999973 1.3193154249    0.120 -2.661  3.5300  5.250    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-16      0.00 7.440e-01 2.551e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.012e-04 11.424 16.063 13.858 12.204 11.260 10.883 10.772
0.00087196 -1.25000 10.00860 0.1400000006 1.4384526719    0.140 -2.480  3.5461  5.200    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.79e-16      0.00 7.425e-01 2.566e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.012e-04 10.971 15.337 13.149 11.577 10.783 10.445 10.339
0.00087196 -1.25000 10.00860 0.1599999964 1.5372931554    0.160 -2.341  3.5564  5.161    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.77e-16      0.00 7.414e-01 2.577e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.013e-04 10.622 14.801 12.648 11.131 10.422 10.107 10.005
0.00087196 -1.25000 10.00860 0.2000000179 1.6938791367    0.200 -2.121  3.5704  5.094    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.03e-16      0.00 7.401e-01 2.590e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.012e-04 10.074 13.984 11.906 10.467 9.861 9.572 9.476
0.00087196 -1.25000 10.00860 0.2500000000 1.8403257998    0.250 -1.916  3.5816  5.031    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.49e-16      0.00 7.397e-01 2.594e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.011e-04 9.561 13.262 11.252 9.882 9.339 9.070 8.978
0.00087196 -1.25000 10.00860 0.3000000417 1.9529140366    0.300 -1.759  3.5901  4.986    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-15      0.00 7.398e-01 2.593e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.011e-04 9.167 12.707 10.757 9.443 8.939 8.684 8.597
0.00087196 -1.25000 10.00860 0.3499999940 2.0434174644    0.350 -1.631  3.5973  4.954    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-15      0.00 7.466e-01 2.525e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.011e-04 8.848 12.264 10.357 9.090 8.614 8.371 8.287
0.00087196 -1.25000 10.00860 0.4000000060 2.1185024399    0.400 -1.483  3.6083  4.908    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-15      0.00 7.492e-01 2.499e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.012e-04 8.478 11.712 9.869 8.676 8.237 8.011 7.932
0.00087196 -1.25000 10.00860 0.4500000179 2.1822809362    0.450 -1.308  3.6257  4.854    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-15      0.00 7.492e-01 2.499e-01 1.620e-04 4.372e-05 3.965e-04 -1.000 9.012e-04 8.041 11.008 9.255 8.176 7.791 7.592 7.522
