# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0010968 -1.15000 10.08636 0.0900000036 1.0816895926    0.090 -3.217  3.4542  5.378    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-17      0.00 7.463e-01 2.526e-01 2.038e-04 5.498e-05 4.986e-04 -1.000 1.133e-03 12.813 18.037 16.831 14.982 12.904 12.206 12.070
0.0010968 -1.15000 10.08636 0.0954036862 1.1315227713    0.095 -3.078  3.4740  5.343    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.7e-17      0.00 7.455e-01 2.534e-01 2.038e-04 5.498e-05 4.986e-04 -1.000 1.133e-03 12.465 17.636 16.023 14.198 12.469 11.873 11.744
0.0010968 -1.15000 10.08636 0.1000000015 1.1711064122    0.100 -2.966  3.4900  5.315    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.46e-17      0.00 7.449e-01 2.540e-01 2.038e-04 5.498e-05 4.986e-04 -1.000 1.133e-03 12.184 17.271 15.384 13.595 12.130 11.607 11.483
0.0010968 -1.15000 10.08636 0.1199999899 1.3193153758    0.120 -2.682  3.5228  5.243    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-16      0.00 7.426e-01 2.563e-01 2.038e-04 5.498e-05 4.987e-04 -1.000 1.133e-03 11.476 16.196 14.033 12.364 11.337 10.932 10.817
0.0010968 -1.15000 10.08636 0.1400000006 1.4384526719    0.140 -2.500  3.5394  5.194    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.69e-16      0.00 7.409e-01 2.580e-01 2.038e-04 5.498e-05 4.987e-04 -1.000 1.133e-03 11.020 15.478 13.299 11.709 10.849 10.490 10.381
0.0010968 -1.15000 10.08636 0.1599999964 1.5372931554    0.160 -2.360  3.5500  5.154    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.64e-16      0.00 7.396e-01 2.593e-01 2.038e-04 5.498e-05 4.987e-04 -1.000 1.133e-03 10.669 14.945 12.786 11.248 10.482 10.148 10.043
0.0010968 -1.15000 10.08636 0.2000000179 1.6938791367    0.200 -2.138  3.5642  5.086    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.86e-16      0.00 7.382e-01 2.607e-01 2.038e-04 5.498e-05 4.987e-04 -1.000 1.133e-03 10.115 14.131 12.031 10.567 9.911 9.609 9.509
0.0010968 -1.15000 10.08636 0.2500000000 1.8403257998    0.250 -1.933  3.5755  5.023    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.34e-16      0.00 7.379e-01 2.610e-01 2.038e-04 5.498e-05 4.987e-04 -1.000 1.133e-03 9.603 13.413 11.373 9.971 9.388 9.107 9.012
0.0010968 -1.15000 10.08636 0.3000000417 1.9529140366    0.300 -1.776  3.5840  4.979    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-18      0.00 7.381e-01 2.608e-01 2.038e-04 5.499e-05 4.987e-04 -1.000 1.133e-03 9.211 12.869 10.879 9.527 8.989 8.723 8.632
0.0010968 -1.15000 10.08636 0.3499999940 2.0434174644    0.350 -1.648  3.5913  4.947    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-15      0.00 7.477e-01 2.512e-01 2.038e-04 5.498e-05 4.986e-04 -1.000 1.133e-03 8.889 12.419 10.473 9.166 8.662 8.408 8.321
0.0010968 -1.15000 10.08636 0.4000000060 2.1185024399    0.400 -1.497  3.6024  4.898    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-15      0.00 7.485e-01 2.504e-01 2.038e-04 5.498e-05 4.986e-04 -1.000 1.133e-03 8.511 11.859 9.974 8.737 8.276 8.040 7.958
0.0010968 -1.15000 10.08636 0.4500000179 2.1822809362    0.450 -1.318  3.6200  4.841    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.42e-15      0.00 7.485e-01 2.504e-01 2.038e-04 5.498e-05 4.986e-04 -1.000 1.133e-03 8.065 11.148 9.347 8.224 7.819 7.611 7.537
0.0010968 -1.15000 10.08636 0.5000000000 2.2374541529    0.500 -1.113  3.6485  4.796    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.48e-15      0.00 7.485e-01 2.504e-01 2.038e-04 5.498e-05 4.986e-04 -1.000 1.133e-03 7.553 10.223 8.555 7.618 7.298 7.134 7.074
