# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0015467 -1.00000 10.07918 0.0900000036 1.0816895926    0.090 -3.239  3.4439  5.358    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-17      0.00 7.449e-01 2.534e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.867 18.121 17.145 15.352 13.078 12.291 12.123
0.0015467 -1.00000 10.07918 0.0972701535 1.1478898001    0.097 -3.063  3.4687  5.316    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.18e-17      0.00 7.441e-01 2.543e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.427 17.610 16.109 14.332 12.499 11.852 11.703
0.0015467 -1.00000 10.07918 0.1000000089 1.1711064744    0.100 -3.000  3.4776  5.300    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.9e-17      0.00 7.437e-01 2.546e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.270 17.410 15.748 13.987 12.300 11.697 11.554
0.0015467 -1.00000 10.07918 0.1200000048 1.3193154741    0.120 -2.719  3.5109  5.231    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-16      0.00 7.417e-01 2.567e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.567 16.400 14.337 12.665 11.473 11.015 10.889
0.0015467 -1.00000 10.07918 0.1400000006 1.4384526719    0.140 -2.534  3.5287  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-16      0.00 7.401e-01 2.583e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.105 15.688 13.552 11.948 10.965 10.566 10.449
0.0015467 -1.00000 10.07918 0.1599999964 1.5372931554    0.160 -2.393  3.5399  5.146    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.4e-16      0.00 7.388e-01 2.596e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.751 15.155 13.017 11.461 10.588 10.222 10.110
0.0015467 -1.00000 10.07918 0.2000000179 1.6938791367    0.200 -2.172  3.5546  5.081    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.45e-16      0.00 7.373e-01 2.611e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.199 14.357 12.248 10.758 10.012 9.682 9.576
0.0015467 -1.00000 10.07918 0.2500000000 1.8403257998    0.250 -1.966  3.5661  5.019    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-16      0.00 7.370e-01 2.614e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.685 13.644 11.577 10.140 9.484 9.180 9.080
0.0015467 -1.00000 10.07918 0.3000000417 1.9529140366    0.300 -1.808  3.5749  4.974    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-18      0.00 7.371e-01 2.612e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.289 13.102 11.072 9.677 9.078 8.792 8.696
0.0015467 -1.00000 10.07918 0.3499999940 2.0434174644    0.350 -1.676  3.5822  4.939    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-15      0.00 7.465e-01 2.519e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.960 12.655 10.658 9.301 8.742 8.470 8.378
0.0015467 -1.00000 10.07918 0.3528364301 2.0480419636    0.353 -1.667  3.5829  4.936    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-15      0.00 7.465e-01 2.519e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.937 12.621 10.627 9.274 8.719 8.447 8.356
0.0015467 -1.00000 10.07918 0.4000000358 2.1185024810    0.400 -1.523  3.5935  4.889    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.578 12.091 10.149 8.855 8.351 8.099 8.012
0.0015467 -1.00000 10.07918 0.4500000477 2.1822809714    0.450 -1.345  3.6104  4.830    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.133 11.395 9.528 8.336 7.894 7.669 7.591
0.0015467 -1.00000 10.07918 0.4992250800 2.2366544950    0.499 -1.146  3.6369  4.782    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.635 10.534 8.767 7.741 7.387 7.204 7.138
0.0015467 -1.00000 10.07918 0.5000000000 2.2374541529    0.500 -1.143  3.6373  4.781    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.628 10.521 8.755 7.732 7.379 7.197 7.131
0.0015467 -1.00000 10.07918 0.5500000715 2.2836583126    0.550 -0.918  3.6704  4.730    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.83e-15      0.00 7.811e-01 2.174e-01 2.564e-04 6.921e-05 6.280e-04 -1.000 1.432e-03 7.065 9.434 7.874 7.067 6.808 6.677 6.627
0.0015467 -1.00000 10.07918 0.6000000238 2.3211213258    0.600 -0.711  3.7008  4.682    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-14      0.00 7.889e-01 2.097e-01 2.488e-04 6.720e-05 6.100e-04 -1.000 1.388e-03 6.547 8.395 7.129 6.488 6.288 6.197 6.166
0.0015467 -1.00000 10.07918 0.6064125896 2.3254147673    0.606 -0.683  3.7050  4.676    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-14      0.00 7.899e-01 2.087e-01 2.477e-04 6.691e-05 6.074e-04 -1.000 1.390e-03 6.479 8.263 7.037 6.415 6.222 6.136 6.107
0.0015467 -1.00000 10.07918 0.6233355999 2.3362591076    0.623 -0.612  3.7161  4.660    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-14      0.00 7.929e-01 2.058e-01 2.448e-04 6.612e-05 6.004e-04 -1.000 1.362e-03 6.299 7.925 6.797 6.224 6.049 5.977 5.953
0.0015467 -1.00000 10.07918 0.6391173005 2.3457792499    0.639 -0.545  3.7262  4.645    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.956e-01 2.030e-01 2.419e-04 6.536e-05 5.935e-04 -1.000 1.386e-03 6.131 7.624 6.582 6.049 5.890 5.830 5.811
0.0015467 -1.00000 10.07918 0.6499999762 2.3520353107    0.650 -0.498  3.7331  4.633    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-14      0.00 7.977e-01 2.010e-01 2.399e-04 6.483e-05 5.887e-04 -1.000 1.337e-03 6.015 7.424 6.437 5.930 5.781 5.728 5.713
0.0015467 -1.00000 10.07918 0.6589986682 2.3570292575    0.659 -0.460  3.7382  4.621    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-14      0.00 7.997e-01 1.990e-01 2.379e-04 6.431e-05 5.841e-04 -1.000 1.315e-03 5.919 7.269 6.321 5.832 5.691 5.643 5.631
0.0015467 -1.00000 10.07918 0.6724911332 2.3642298690    0.672 -0.401  3.7458  4.602    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-14      0.00 8.028e-01 1.959e-01 2.349e-04 6.351e-05 5.769e-04 -1.000 1.305e-03 5.773 7.042 6.148 5.687 5.557 5.517 5.509
0.0015467 -1.00000 10.07918 0.6849575639 2.3705937683    0.685 -0.347  3.7525  4.582    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-14      0.00 8.058e-01 1.929e-01 2.319e-04 6.273e-05 5.699e-04 -1.000 1.294e-03 5.636 6.834 5.987 5.552 5.433 5.401 5.395
0.0015467 -1.00000 10.07918 0.6971715093 2.3765756222    0.697 -0.292  3.7589  4.561    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 8.089e-01 1.899e-01 2.290e-04 6.194e-05 5.629e-04 -1.000 1.264e-03 5.500 6.633 5.829 5.418 5.309 5.284 5.281
0.0015467 -1.00000 10.07918 0.6999999881 2.3779266974    0.700 -0.279  3.7604  4.556    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.16e-14      0.00 8.096e-01 1.891e-01 2.282e-04 6.175e-05 5.612e-04 -1.000 1.284e-03 5.468 6.587 5.793 5.387 5.280 5.256 5.254
0.0015467 -1.00000 10.07918 0.7025200129 2.3791199008    0.702 -0.268  3.7617  4.551    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.29e-14      0.00 8.104e-01 1.883e-01 2.273e-04 6.155e-05 5.595e-04 -1.000 1.296e-03 5.439 6.547 5.760 5.359 5.254 5.232 5.230
0.0015467 -1.00000 10.07918 0.7114206553 2.3832565634    0.711 -0.226  3.7661  4.532    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -4.79e-14      0.00 8.132e-01 1.856e-01 2.241e-04 6.082e-05 5.531e-04 -1.000 1.235e-03 5.335 6.404 5.644 5.259 5.160 5.143 5.142
0.0015467 -1.00000 10.07918 0.7200596333 2.3871593493    0.720 -0.185  3.7702  4.513    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-14      0.00 8.160e-01 1.828e-01 2.209e-04 6.008e-05 5.466e-04 -1.000 1.203e-03 5.232 6.264 5.528 5.159 5.067 5.053 5.055
0.0015467 -1.00000 10.07918 0.7283615470 2.3908097185    0.728 -0.144  3.7741  4.492    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.98e-14      0.00 8.189e-01 1.799e-01 2.177e-04 5.935e-05 5.402e-04 -1.000 1.233e-03 5.129 6.130 5.416 5.061 4.974 4.965 4.968
